Compliance Notice: PII of EU and California residents are not included. Visit https://builtwith.com/compliance for options and more information. Do Not Contact entries are self removed from BuiltWith. Please see https://builtwith.com/terms - you cannot use this list to bulk send emails. AU Customers cannot access harvested emails by law.
Domain,Location on Site,Tech Spend USD,Sales Revenue USD,Social,Employees,Company,Vertical,Tranco,Page Rank,Majestic,Umbrella,Telephones,Emails,Twitter,Facebook,LinkedIn,Google,Pinterest,GitHub,Instagram,Vk,Vimeo,Youtube,TikTok,Threads,X,Weibo,People,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed,Exclusion,Compliance
"1password.com","1password.com/*;passage.1password.com;blog.1password.com/*","$2000","","100000","0","1Password","Technology And Computing","6400","3119","3037","1276","ph:","support@1password.com","twitter.com/1password","facebook.com/1password","","","","github.com/1password","instagram.com/1passwordofficial","","vimeo.com/1password","","","","","","N/A - Sales - noemail; N/A - Manager - noemail; N/A - Csuite - noemail; N/A - Founder - noemail","Berlin Kreuzberg","BE","10969","DE","2023-03-11","2025-07-02","2003-12-02","2025-07-08","-","GDPR Germany"
"backmarket.com","backmarket.com/*;jobs.backmarket.com;engineering.backmarket.com","$10000","$2767399","100000","100","Back Market","Technology And Computing","466569","9885","57614","28835","ph:+1-718-866-3427;+1-800-697-1220;+1-855-442-6688;+1-800-778-7879","press@backmarket.com;hello@backmarket.com;support@backmarket.com;legal@backmarket.com;transport@backmarket.com","twitter.com/backmarket","facebook.com/backmarketcom","","","","","instagram.com/backmarket","","","","","","","","N/A - Founder - noemail","Brooklyn","New York","11206","US","2022-04-19","2025-07-02","2001-04-03","2025-07-02","-","-"
"bazaarvoice.com","bazaarvoice.com","$10000","","2000","1000","Bazaarvoice","Shopping","464603","5288","13816","655","ph:+1-866-522-9227;+44-208-0801100;+44-800-3680991;+1-512-551-6000;+1-512-853-2182","privacy@bazaarvoice.com;matt.krebsbach@bazaarvoice.com;linda.wells@bazaarvoice.com;tiff@bazaarvoice.com;summit@bazaarvoice.com;evan.pollan@bazaarvoice.com;inspire@bazaarvoice.com;joe.mccann@bazaarvoice.com;jeff@bazaarvoice.com;brett.hurt@bazaarvoice.com;endyll.severa@bazaarvoice.com;bridget.davidson@bazaarvoice.com;brent.robinson@bazaarvoice.com;sam@bazaarvoice.com;cindy.reeder@bazaarvoice.com;graham.jackson@bazaarvoice.com;ett.hurt@bazaarvoice.com;gonzalo.higueras@bazaarvoice.com;ryan.stinnett@bazaarvoice.com;gene_austin@bazaarvoice.com;legal@bazaarvoice.com","twitter.com/bazaarvoice","facebook.com/bazaarvoice","linkedin.com/company/bazaarvoice","","","","instagram.com/bazaarvoice","","","youtube.com/user/bazaarvoice","","","x.com/bazaarvoice","","N/A - Marketing - n/a@bazaarvoice.com; N/A - Director - n/a@bazaarvoice.com; N/A - President - n/a@bazaarvoice.com; N/A - Csuite - n/a@bazaarvoice.com","Austin","TX","78759","US","2018-04-03","2025-07-01","2006-10-03","2025-07-07","-","-"
"bdg.com","bdg.com","$500","","0","0","Business Development Group","Art And Entertainment","Outside Top 1m","2832167","425008","12092","ph:+1-206-264-4424;+1-917-551-6510","advertising@bdg.com;press@bdg.com;privacy@bdg.com","","","","","","","","","","","","","","","N/A - Marketing - n/a@bdg.com; N/A - President - n/a@bdg.com; N/A - Csuite - n/a@bdg.com; N/A - Founder - n/a@bdg.com","New York City","NY","10010","US","2021-01-08","2025-07-02","2008-10-18","2025-07-03","-","-"
"bestegg.com","bestegg.com","$5000","","250","0","Best Egg","Finance","5404","2328601","266092","40852","ph:+1-844-825-2608;+1-855-282-6353;+1-505-476-4885;+1-866-615-4323;+1-833-707-1226","crt-resolution@bestegg.com;loan_assistance@mybestegg.com;veloan_assistance@mybestegg.com;cardservicing@bestegg.com;financialhealth@bestegg.com","twitter.com/mybestegg","facebook.com/besteggloan","linkedin.com/company/bestegg","","","","instagram.com/mybestegg","","","","tiktok.com/@mybestegg","","x.com/mybestegg","","N/A - Marketing - noemail; N/A - President - noemail; N/A - Csuite - noemail","Philadelphia","PA","19101","US","2024-01-20","2025-07-08","2000-08-18","2025-07-08","-","-"
"bitpanda.com","bitpanda.com","$5000","","20000","100","Bitpanda","Finance","169315","5399","22010","46124","ph:","","twitter.com/bitpanda","facebook.com/bitpanda","linkedin.com/company/bitpanda","","","","instagram.com/bitpanda","vk.com/bitpanda","","","","","","","N/A - Csuite - noemail","Berlin Friedrichshain","BE","10245","DE","2018-05-24","2025-07-02","2009-07-31","2025-07-05","-","GDPR Germany"
"bitrise.io","bitrise.io","$10000","$855465","500","100","Bitrise","Technology And Computing","185543","17321","105106","48732","ph:","support@bitrise.io;legal@bitrise.io","twitter.com/bitrise","facebook.com/bitrise.io","linkedin.com/company/bitrise","","","github.com/bitrise-io","instagram.com/bitrise.io","","","","","","","","N/A - Bizdev - n/a@bitrise.io; N/A - Software - n/a@bitrise.io; N/A - Board - n/a@bitrise.io; N/A - Manager - n/a@bitrise.io; N/A - Csuite - n/a@bitrise.io; N/A - Founder - n/a@bitrise.io","London","LND","EC2A","GB","2021-03-12","2025-07-02","2014-10-23","2025-07-06","-","GDPR United Kingdom"
"bluebottlecoffee.com","bluebottlecoffee.com","$2000","$243279","50000","100","Blue Bottle Coffee","Art And Entertainment","26278","278749","28525","142321","ph:+1-510-435-7530;+1-510-653-3394;+1-800-778-7879","orders@bluebottlecoffee.com;support@bluebottlecoffee.com;press@bluebottlecoffee.com;events@bluebottlecoffee.com;donations@bluebottlecoffee.com;partnerships@bluebottlecoffee.com;international@bluebottlecoffee.com;brand@bluebottlecoffee.com","twitter.com/bluebottleroast","facebook.com/bluebottlecoffee","","","","","instagram.com/bluebottle","","","","","","","","N/A - Csuite - n/a@bluebottlecoffee.com","Oakland","CA","94607","US","2017-06-03","2025-07-06","2003-02-10","2025-07-06","-","California CCPA"
"bond.edu.au","joblink.bond.edu.au","$10000","","20000","10","Bond University","Science","198407","26245","19480","101640","ph:+61-755-951111;+61-800-074074;+61-755-950000;+61-755-951492;+61-755-951024;+61-4-19483340;+61-755-955634;+61-755-953090;+61-755-953549","swilliam@bond.edu.au;amazey@bond.edu.au;cmasson@bond.edu.au;jendelma@bond.edu.au;jsuli@bond.edu.au;bookatimewithus@bookings.bond.edu.au;studenthousing@bond.edu.au","twitter.com/bonduniversity","facebook.com/bonduniversity","linkedin.com/company/bond-university","","pinterest.com/bonduniversity","","instagram.com/bonduniversity","","","youtube.com/user/bonduniversity","tiktok.com/@bond.university","","","weibo.com/bonduni","N/A - Manager - n/a@bond.edu.au; N/A - Csuite - n/a@bond.edu.au","Robina","QLD","4226","AU","2019-12-23","2025-03-20","2000-02-29","2025-07-07","-","-"
"bonusprint.co.uk","bonusprint.co.uk","$2000","","10000","1000","bonusprint","Business And Industrial","497290","2962030","200346","99699","ph:+44-800-4960354;+44-800-5282525;+44-800-0988801","","twitter.com/bonusprint","facebook.com/bonusprint","","","pinterest.com/bonusprint_uk","","instagram.com/bonusprint_uk","","","youtube.com/user/bonusprintuk","","","","","","Borehamwood","HRT","","GB","2023-08-13","2025-03-20","2004-10-15","2025-07-02","-","GDPR United Kingdom"
